Hospital Name,State,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating,Readmission national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Patient experience national comparison
FRANCISCAN ST JAMES HEALTH,IL,Acute Care Hospitals,Proprietary,Yes,1.0,Below the national average,Same as the national average,Same as the national average,Below the national average
PRESENCE MERCY MEDICAL CENTER,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3.0,Above the national average,Same as the national average,Same as the national average,Same as the national average
CENTEGRA HEALTH SYSTEM - WOODSTOCK HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Above the national average,Same as the national average,Same as the national average,Same as the national average
JACKSON PARK HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.0,Below the national average,Below the national average,Above the national average,Below the national average
LITTLE COMPANY OF MARY HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2.0,Below the national average,Below the national average,Below the national average,Same as the national average
PRESENCE SAINTS MARY AND ELIZABETH MEDICAL CENTER,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4.0,Below the national average,Same as the national average,Below the national average,Same as the national average
SOUTH SHORE HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Same as the national average,Below the national average,Below the national average
ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,2.0,Below the national average,Same as the national average,Below the national average,Same as the national average
HEARTLAND REGIONAL MEDICAL CENTER,IL,Acute Care Hospitals,Proprietary,Yes,2.0,Below the national average,Same as the national average,Above the national average,Below the national average
MEMORIAL HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Same as the national average,Above the national average,Below the national average,Same as the national average
RIVERSIDE MEDICAL CENTER,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5.0,Above the national average,Same as the national average,Same as the national average,Above the national average
ST ELIZABETH HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3.0,Below the national average,Same as the national average,Same as the national average,Same as the national average
SARAH BUSH LINCOLN HEALTH CENTER,IL,Acute Care Hospitals,Voluntary non-profit - Private,No,3.0,Below the national average,Same as the national average,Same as the national average,Above the national average
INGALLS MEMORIAL HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Below the national average,Same as the national average,Same as the national average,Below the national average
METHODIST HOSPITAL OF CHICAGO,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Same as the national average
ELMHURST MEMORIAL HOSPITAL,IL,Acute Care Hospitals,Proprietary,Yes,4.0,Same as the national average,Same as the national average,Same as the national average,Above the national average
ADVOCATE CONDELL MEDICAL CENTER,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5.0,Above the national average,Above the national average,Below the national average,Same as the national average
NORWEGIAN-AMERICAN HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Same as the national average,Same as the national average,Below the national average,Below the national average
ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3.0,Below the national average,Same as the national average,Below the national average,Same as the national average
METHODIST MEDICAL CENTER OF ILLINOIS,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Above the national average,Same as the national average,Same as the national average,Above the national average
HARRISBURG MEDICAL CENTER,IL,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3.0,Below the national average,Same as the national average,Above the national average,Same as the national average
DELNOR COMMUNITY HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Above the national average,Same as the national average,Same as the national average,Above the national average
SILVER CROSS HOSPITAL  AND MEDICAL CENTERS,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Below the national average,Same as the national average,Same as the national average,Above the national average
PRESENCE SAINT JOSEPH HOSPITAL - ELGIN,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3.0,Above the national average,Same as the national average,Same as the national average,Same as the national average
ADVOCATE LUTHERAN GENERAL HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3.0,Above the national average,Same as the national average,Same as the national average,Above the national average
PRESENCE SAINT JOSEPH HOSPITAL - CHICAGO,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,2.0,Below the national average,Same as the national average,Same as the national average,Below the national average
SWEDISH AMERICAN HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Other,No,4.0,Same as the national average,Same as the national average,Above the national average,Above the national average
EDWARD HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Same as the national average
SAINT ANTHONY MEDICAL CENTER,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Below the national average
ILLINOIS VALLEY COMMUNITY HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Same as the national average,Same as the national average,Above the national average,Above the national average
ROCKFORD MEMORIAL HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Below the national average,Same as the national average,Above the national average,Same as the national average
WESTLAKE COMMUNITY HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3.0,Above the national average,Same as the national average,Same as the national average,Below the national average
CENTRAL DUPAGE HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Above the national average,Below the national average,Same as the national average,Above the national average
ADVOCATE SOUTH SUBURBAN HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Church,No,4.0,Same as the national average,Same as the national average,Below the national average,Below the national average
COMMUNITY FIRST MEDICAL CENTER,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Above the national average,Same as the national average,Same as the national average,Below the national average
NORTHWEST COMMUNITY HOSPITAL 1,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Above the national average,Same as the national average,Above the national average,Below the national average
ALEXIAN BROTHERS MEDICAL CENTER 1,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4.0,Above the national average,Above the national average,Same as the national average,Same as the national average
GENESIS HEALTH SYSTEM,IL,Acute Care Hospitals,Government - Local,Yes,3.0,Above the national average,Same as the national average,Same as the national average,Same as the national average
LOYOLA UNIVERSITY MEDICAL CENTER,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Same as the national average,Below the national average,Same as the national average
TRINITY ROCK ISLAND,IL,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2.0,Same as the national average,Same as the national average,Above the national average,Below the national average
NORTHWESTERN MEMORIAL HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Below the national average,Above the national average,Below the national average,Same as the national average
KISHWAUKEE COMMUNITY HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Above the national average,Above the national average,Above the national average,Same as the national average
ADVOCATE GOOD SAMARITAN HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4.0,Above the national average,Same as the national average,Same as the national average,Above the national average
ANDERSON HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Same as the national average
ST ALEXIUS MEDICAL CENTER,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4.0,Above the national average,Same as the national average,Same as the national average,Below the national average
ADVOCATE GOOD SHEPHERD HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,5.0,Above the national average,Same as the national average,Same as the national average,Same as the national average
ADVENTIST GLENOAKS,IL,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Below the national average
CROSSROADS COMMUNITY HOSPITAL,IL,Acute Care Hospitals,Proprietary,No,3.0,Same as the national average,Same as the national average,Same as the national average,Same as the national average
PROVIDENT HOSPITAL OF CHICAGO,IL,Acute Care Hospitals,Government - Local,Yes,3.0,Same as the national average,Same as the national average,Below the national average,Not Available
ADVENTIST BOLINGBROOK HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Same as the national average,Above the national average,Below the national average
METRO-EAST SERVICES INC,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,Not Available,Not Available,Not Available,Not Available
THOMAS H BOYD MEMORIAL HOSPITAL,IL,Critical Access Hospitals,Voluntary non-profit - Private,No,,Same as the national average,Not Available,Not Available,Not Available
KIRBY MEDICAL CENTER,IL,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Same as the national average,Not Available,Not Available,Not Available
MIDWEST MEDICAL CENTER,IL,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,Not Available,Not Available,Not Available
WARNER HOSPITAL AND HEALTH SERVICES,IL,Critical Access Hospitals,Government - Local,Yes,,Same as the national average,Not Available,Not Available,Not Available
"GENESIS MEDICAL CENTER, ALEDO",IL,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Same as the national average,Not Available,Not Available,Not Available
MEMORIAL HOSPITAL,IL,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4.0,Same as the national average,Not Available,Same as the national average,Not Available
COMMUNITY MEMORIAL HOSPITAL,IL,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,Not Available,Not Available,Not Available
PINCKNEYVILLE COMMUNITY HOSPITAL,IL,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Same as the national average,Not Available,Not Available,Not Available
WASHINGTON COUNTY HOSPITAL*,IL,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Same as the national average,Not Available,Not Available,Not Available
ADVOCATE EUREKA  HOSPITAL,IL,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4.0,Same as the national average,Same as the national average,Above the national average,Not Available
